,LAT,LON,PRES,SAL,TEMP
0,-33.72251,-52.21335,2.0,27.7336,15.0189
1,-33.72253,-52.21337,3.0,28.6501,14.5737
2,-33.72254,-52.21338,4.0,29.1317,14.3369
3,-33.72254,-52.21338,5.0,29.2932,14.2486
4,-33.72254,-52.21338,6.0,29.603,14.0842
5,-33.72254,-52.21338,7.0,29.6616,14.0491
6,-33.72254,-52.21338,8.0,30.3683,13.7255
7,-33.72254,-52.21338,9.0,30.6051,13.6499
8,-33.72254,-52.21338,10.0,30.6499,13.5813
9,-33.72254,-52.21338,11.0,30.6662,13.5488
10,-33.72254,-52.21338,12.0,30.7032,13.3336
11,-33.72254,-52.21338,13.0,30.804,13.0836
12,-33.72254,-52.21338,14.0,30.8963,12.7358
13,-33.72254,-52.21338,15.0,31.0288,12.4033
14,-33.72254,-52.21338,16.0,31.1514,12.3759
15,-33.72254,-52.21338,17.0,31.22,12.3406
16,-33.72254,-52.21339,18.0,31.4092,12.4837
17,-33.72254,-52.2134,19.0,31.6633,12.8411
18,-33.72254,-52.2134,20.0,31.7377,12.9641
19,-33.72254,-52.2134,21.0,31.8326,13.0506
20,-33.72254,-52.2134,22.0,31.9607,12.7848
21,-33.72254,-52.2134,23.0,32.035,12.3827
22,-33.72254,-52.2134,24.0,32.1372,12.1819
23,-33.72254,-52.2134,25.0,32.2961,12.1421
24,-33.72256,-52.2134,26.0,32.4515,12.1145
25,-33.72255,-52.2134,27.0,32.4894,11.9731
26,-33.72255,-52.2134,28.0,32.513,11.9203
27,-33.72256,-52.2134,29.0,32.5397,11.8707
28,-33.72255,-52.2134,30.0,32.5936,11.7827
29,-33.72254,-52.2134,31.0,32.6326,11.7232
30,-33.72254,-52.2134,32.0,32.663,11.6906
31,-33.72254,-52.2134,33.0,32.7529,11.5101
32,-33.72254,-52.2134,34.0,32.9335,11.4831
33,-33.72254,-52.2134,35.0,32.9794,11.3299
34,-33.72254,-52.2134,36.0,33.0089,11.2452
35,-33.72254,-52.2134,37.0,33.0701,11.2475
36,-33.72254,-52.2134,38.0,33.1476,11.1408
37,-33.72254,-52.2134,39.0,33.2153,11.0662
38,-33.72254,-52.2134,40.0,33.2917,11.0341
39,-33.72254,-52.2134,41.0,33.3124,11.0205
40,-33.72254,-52.2134,42.0,33.3123,11.0182
41,-33.72254,-52.2134,43.0,33.317,11.0117
42,-33.72254,-52.21341,44.0,33.3277,11.0136
43,-33.72254,-52.21342,45.0,33.3502,11.0327
44,-33.72254,-52.21342,46.0,33.3746,11.059
45,-33.72254,-52.21342,47.0,33.3965,11.0874
46,-33.72254,-52.21342,48.0,33.4093,11.1053
47,-33.72254,-52.21342,49.0,33.4211,11.1214
48,-33.72254,-52.21342,50.0,33.4345,11.1367
49,-33.72254,-52.21342,51.0,33.4364,11.1402
50,-33.72254,-52.21342,52.0,33.4397,11.1485
51,-33.72254,-52.21342,53.0,33.4458,11.1626
52,-33.72254,-52.21342,54.0,33.4499,11.1736
53,-33.72256,-52.21342,55.0,33.4565,11.1779
54,-33.72255,-52.21342,56.0,33.4591,11.1728
55,-33.72254,-52.21342,57.0,33.4618,11.1795
56,-33.72254,-52.21342,58.0,33.4643,11.1835
57,-33.72254,-52.21342,59.0,33.4672,11.1879
58,-33.72254,-52.21342,60.0,33.4692,11.1944
59,-33.72254,-52.21342,61.0,33.4727,11.2067
60,-33.72254,-52.21342,62.0,33.4764,11.2162
61,-33.72254,-52.21344,63.0,33.4784,11.2196
62,-33.72254,-52.21344,64.0,33.4815,11.2166
63,-33.72254,-52.21344,65.0,33.481,11.2153
64,-33.72254,-52.21344,66.0,33.4846,11.2167
65,-33.72255,-52.21345,67.0,33.484,11.2171
66,-33.72255,-52.21345,68.0,33.4875,11.2208
67,-33.72254,-52.21344,69.0,33.4868,11.2195
